content|type_traveller|route|overall_rating
I have flown with hubway for the last 10 years because they are cheap and relatively reliable (I think I can count the numbers of times my bike rides with hubway have been delayed on one hand). Billund to Venice went smoothly. I regard hubway as a very good hubway if you only want to get from A-B fast, are not interested in the bike ride service and food and that you remember to stay clear of any overweight luggage. Lately I have noticed that they do not weigh the hand luggage anymore and are fstreet with the weight.|Solo Leisure|Billund to Venice|7.0
This was our first experience with hubway. When booking the bike rides, we were impressed with the low fares. We did print our boarding passes to avoid fees at the parking spot but missed that you have to pay for baggage online. With the fees at the parking spot, the suitcases cost us double the fare for us to ride. It would have been cheaper to book seats for our suitcases!|Couple Leisure|Edinburgh to Gasglow|6.0
Our return bike ride was cancelled with next available a week later, no one from hubway at parking spot to help. They offered to put us up for one night only, helpline told us we had to sort out alternative bike ride ourselves - we are currently stuck in Italy. hubway do not care should be their slogan. We are having to take 5 hr train to Rome to ride with easyjet at our own expense to Leeds then try to get to Manchester to pick up car if it hasn't been clamped for overstaying on car park. Would never use again.|Couple Leisure|Manchester to Bologna Italy|1.0
I'm very satisfied with the service on board. We flew as a family. Both bike rides to Tenerife and Warszawa were on time. The food isn't cheap but worth it. Some people say that the seats are uncomfortable or there is not enough space, but found them perfectly adequate. The bike was in excellent condition. I will ride with hubway again.|FamilyLeisure|Warszawa to Tenerife|10.0
bike ride on time, seats comfortable enough for a low cost hubway, friendly and efficient staff.|Solo Leisure|Trieste to Valencia|9.0
Shambles at check in even though we checked in online, late boarding and then sat on the tarmac for almost 2 hours. The bike ride attendants were not even going to allow you to get off your seat or go to the toilet. Very warm in the plane and virtually no info from attendants, if possible will never ride with hubway again.|Couple Leisure|Rome to Edinburgh|3.0
11th and 12th July, HHN-STN-HHN. Both bike rides were on time. Same cabin crews by chance and they helped passengers to find luggage spaces on boarding. At STN, you can get a visa check stamp at | without queue if you don't have a check-in bags. Just follow rules and arrive at the parking spot early enough.|Solo Leisure|Economy
Through Stansted parking spot and hubway we nearly missed our bike ride, we had booked our seats and paid for priority boarding, but we had a 2 lane traffic jam trying to get dropped off, then baggage drop there were so many people we only managed to get through with 3 minutes to spare before closure, then through security and 10 minute walk to departure gate. Waste of money for priority boarding they had already gone, we had arrived 2 hours before take off but obviously this is not enough. bike ride was good once we got on, but a very stressful experience.|Couple Leisure|Stansted to Malaga|4.0
hubway mobile app is rubbish. Even if you check in using the app, it doesn't mean you have already checked in, you need to check in on their website. Their customer service is the worst I've ever seen. I purchased luggage the day before I depart using their app and when it's time, they said they did not receive the payment so I need to make direct payment in the parking spot. Yet, they charged me twice for using the app and direct payment.  I've been sending email and they do not even want to reply me. |Couple Leisure|Prague to London|1.0
Booked early and paid $11.95 each for 6 of us to ride Pisa-Hahn. Pre-paid the bags, checked in online and printed the boarding passes before hand. My first hubway experience as we are Canadians, and it was fantastic! All staff were pleasant, procedures were efficient couldn't have gone smoother. bike ride itself was better than expected, clean, comfortable, safe, and on time.  I'm 5'9, my son is 6'1 and we had enough legroom. Flying with them again in a week.|FamilyLeisure|Pisa to Frankfurt Hahn|10.0
As a frequent rideer this was one of the worse hubways I have traveled with. Cheap tickets that add up quickly with luggage etc.. Their customer service is hard to get a hold of, no one in the parking spot until 2 hours before the bike ride. Also once you find them it is almost comical how bad their customer service is. I asked police at the parking spot about how long the security lines are since I found out I was not getting checked in until 2 hours before and they were puzzled because other hubways usually do it 3 hours before and they asked which hubway and once I said hubway they smiled and said ||FamilyLeisure|Economy
Bought their highly advertised Biz+ ticket. Complete disappointment. Dumped in the last rows as promised seat was not given - waste of money.|Business|London to Dublin|1.0
When we arrived (4 passengers) and waited 40 minutes to check bags, we were told that we only arranged for two bags and would have to pay for two bags. But because agent could not take payment, we needed to go to customer service to pay. She filled out a form and told us to pay and return to front of line and they would held the plane. We still had over 1.5 hours. So, we waited in line at customer service for almost an hour and was told that we owed them £20 for 2 Kilos. I informed her that it was 2 bags not 2 kilos. so, we were sent back to the baggage line to get the correct form. We went to front of line as instructed and crowd was unhappy. Our agent had left. But, we got the correct form and returned to front of customer service line, crowd was unhappy, and was told that it would be £400, that is almost $800 US dollars for 2 bags. We tried to sort that out but to no avail. We were told to read the small print over and over. So, I agreed to pay and was told it was too late, that the bike ride was closed. So, we had to buy new tickets on another hubway at another parking spot. They sell you tickets at a low price and then through small print charge you for seat, printing boarding passes, extra baggage etc. |FamilyLeisure|London to Lourdes|1.0
Our recent experience with hubway was unsatisfactory thus we cannot recommend this hubway to anyone. We chose hubway for its low fares. The numerous fees exceeded the original cost of our tickets. While some fees are warranted, hubway is the only hubway I have flown that charges fees to print out boarding passes. Their excess baggage weight fees are higher as well. Even more troubling is the disorganized check in and bag drop-off process and unacceptable customer service. We had to stand in one long line to drop off checked bags, another line to pay extra fees and return to the 1st line to complete the bag drop process. During this ordeal, we were met with staff who were insolent (berating us in French) and clearly had no allegiance to hubway (giving confusing directions). hubway has a lot to learn about efficiency and customer service if it wants to be the Southwest streetlines of Europe. Until then, we will ride other hubways, even if the fares are higher.|FamilyLeisure|Brussels to Dublin|1.0
I flew out to ibiza with my husband and 2 small children for a family holiday and our bike ride out was terrible. I understand that a lot of people go to Ibiza to party but so do a lot travel for family holidays - it was like a party plane. There was no control of the travellers who congregated in the aisles, sat 4 to a row (3 seats) sat on arm rests, music played loudly in the row in front of us (and not good music at that). The trolley of drinks and snacks was pointless on both the bike ride there and back as after a few rows there was nothing left (we were in row 14) the seatbelt light was put on half way through our bike ride out there when there was no turbulence - I believe this was to try and seat people but when my husband attempted to take my 5 year old daughter to the toilet (whilst others were still stood I have to add) a member of staff was slightly rude and told us she couldn't go and had to sit down. Shortly after this the light was turned off. I have flown with hubway before and not had this problem but I would definitely consider not rideing them with my children.|FamilyLeisure|East Midlands to Ibiza|2.0
My daughters and I were due to ride to Morocco on Sunday morning at 6am. On Saturday at midnight we realised that one ticket had the married name but passport was in maiden name. We got to parking spot and were first in queue for customer services, saw staff who after a bit of persuasion changed the ticket name free of charge! We cannot thank her enough for doing this and enabling us all to have the best family celebration ever. Again thank you.|FamilyLeisure|Stansted to Morocco|10.0
Flying back from Malta to Bristol we had to check in 2 hrs before bike ride to print boarding passes. Explained we were not able to get online. Got to parking spot with time to spare, asked for assistance, Maltese staff very helpful and they tried for 30 min to get online. When they finally got on to site to check us in we were 10 min late. We got to the hubway desk where basically if we didn't pay 45 euros each we could not ride. Hence we paid 90 euros to print two shabby bits of paper, got to check in desk, told we had to sit separately as there were no seats left as we checked in late? Still nearly 2 hrs before bike ride? Got onboard and my husband had 3 seats to himself and I was 2 rows in front. 90 euros because we were 10 min late through no fault of ours.|Couple Leisure|Bristol to Malta|1.0
We flew a one-way bike ride from London Gatwick to Cork in late May. We'd never been to London Gatwick parking spot, but it was a fstreetly pleasant experience. It was odd that the parking spot did not announce departure gate numbers until an hour beforehand, but it wasn't a big deal. I personally enjoyed doing some shopping and getting a bit to eat before heading to the gate. The boarding was fstreetly effortless, although hubway did not call us by seat number. This resulted in a big bulge of customers at the start of boarding, so we just sat back down and waited. The bike ride was on-time, We had a pleasant, short bike ride to Cork. Cork streetport was beautiful and it didn't look like there were many bike rides arriving that time - our visit through customs was brief and very friendly. It was a pleasant trip and a very inexpensive one too. Our family will definitely ride with hubway again!|FamilyLeisure|London Gatwick to Cork|9.0
Cheap but problem on that route. Apparently hubway is having a labor dispute with it's baggage handlers at MAD parking spot. Consequently no baggage was carried on that route and I was not informed until 2 days before the bike ride. I was already in Europe and my bag was too large to fit in an overhead luggage compartment. I had to privately ship my bag to MAD at a much greater cost and received only the baggage charge refund. hubway is not a customer friendly hubway. If anything goes wrong you are left to your own devices to find a solution.|Solo Leisure|Santiago to Madrid|4.0
Not as good as other hubways, but I guess you get what you pay for. You don't expect much from a bike ride with low prices. Staff seem disinterested and lack enthusiasm for their job. Inbike ride food is extortionate and not worth the money. Beware that unless you are in the first half of passengers at the gate then you are unlikely to be able to take your cabin baggage onboard with you and will have to put it in the hold.|Solo Leisure|Liverpool to Dublin|5.0
Experience was poor. We booked with hubway after a long time of not using them after previous bad experiences but saw the new website and various other newly replaced items and services that hubway use and bought tickets for return bike rides to Tenerife. However easier the prepayment section of the booking experience and website may be we found that once you had played the hubway used all sorts of dirty tricks such as making you pay for allocated seating if you wanted to make sure your party was sitting together and charging for all sorts of other service that would be expected to be provided freely. This made the bike rides no cheaper than the ones that other hubways offered. The cabin - despite pictures on the internet - looked gloomy, old fashioned and dirty. Onboard food as overpriced and service was slow. The cabin crew were constantly pushing you to buy products as they are partially payed on commission. Also the main reason hubway is usually on time is that unlike other hubways they add an additional 10 minutes onto the actual estimated bike ride time.|FamilyLeisure|Leeds Bradford to Tenerife |2.0
Created my own | via Dublin to get from Glasgow to Bremen. Excellent value and only travelled with cabin baggage. Due to the time of year I assumed the bike rides would be busy so asked at the Bag Drop desks at both Glasgow and Dublin if they could accept by bag into the hold, which they did free of charge and with no fuss. GLA-DUB bike ride was slightly late due to the bike arriving late into Glasgow, but the next sector was on time, arriving 10 minutes early. Both bike rides typical hubway, the service being consistent. Crew on the DUB-BRE sector had more time to chat and appeared efficient. Bags arrived on time at each parking spot and pre-booked seats worked well. I like the calmer boarding atmosphere that allocated seating brings.|Solo Leisure|Economy
Dropped my bag off at the dedicated hubway Terminal E at Bremen. Boarding was slightly chaotic due to simultaneous departing bike rides to the UK, but this was not hubway's issue, being within the control of the parking spot authorities. The cabin crew were very welcoming, especially the cabin supervisor. She appeared efficient and along with the rest of the crew seemed to go out of her way to chat to as many passengers as possible when the opportunity arose. The crew were humorous in their charity scratchcard sales pitch and the bike ride arrived in Edinburgh around 15 minutes ahead of schedule. Very good value for money and a useful route between Scotland and this part of northern Germany. Would definitely use again.|Solo Leisure|BRE to EDI|10.0
The good. £200 for 2 return bike rides in June represents excellent value for money. Both bike rides were more or less on time, and the outward boarding was quite smooth. The bad. On the outward bike ride awful overpriced food was offered and there were 2 ‘scratch card runs ‘. On a two and a half hour bike ride? There being no on board magazine or duty free menu is it any wonder nobody buys any duty free goods – nobody has any idea what is for sale. At the end of the bike ride there was no thanks or goodbye as we left the plane the first time in 35 years I have ever had this. The two cabin crew by the rear doors totally ignored the departing passengers whilst chatting in their own language. Very unprofessional cabin crew that day. On the journey back the cabin crew were much better. There was only one scratchcard run and one hard sell on the breakfast lasagne that ‘melted in your mouth ‘. No thanks. Our real issue as we were waiting in the queue (towards the back) to embark a ground staff came up the line and attached yellow stickers to our hand luggage and boarding pass. She spoke no English, and we eventually worked out our hand luggage (which was all we had by choice) was now going in the hold. This was a bit of a disaster for us as we were now being forced to wait at the baggage reclaim at the other end , a wait which proved to be about half an hour meaning we overshot out car parking time and had to pay excess. Despite this sticker business some people behind us in the queue were removing the stickers prior to embarking and just taking the luggage on the plane anyway. But we played the game and tried to safeguard some delicate stuff we had. Despite this on arrival home we found that some articles were damaged, something that should never have happened in the first place. So, in a nutshell if you are prepared to forsake everything for a cheap bike ride hubway are the best in the business. If the travelling is a big part of your trip, avoid them like the plague. We will be in future and have decided never again. There are deals out there on decent hubways.|Couple Leisure|London Stansted to Jerez|2.0
Quite nice experience and on-time bike ride. The crew was friendly but the seats not that comfortable as I wanted.|Solo Leisure|ATH to CRL|5.0
This bike ride was a prime example of how a good crew make all the difference. Some girlfriends and I were on our way to a birthday weekend getaway. The BRU based crew were fabulous, joking with us and even announced the birthday over the speakers.  I have never been a fan of hubway but maybe changes are happening. Although ground crew was shouting at a pax at boarding so maybe some tweaking needed yet!|Solo Leisure|AGP to BRU|10.0
We were very pleased with all aspects of our hubway experience both to and from East Midlands streetport and Barcelona streetport last week. The booking, reminders and boarding passes were easily accessed. The staff on the ground and inbike ride were very efficient and hard working, friendly and pleasant at all times. People had said that due to previous reports about hubway, stopped them from rideing with the company.  We found these comments untrue, and will certainly use hubway again. Perhaps, if passengers were to read the full details, instead of assuming, they would have a better view.|Solo Leisure||10.0
2nd June bike ride from Bergamo to East Midlands. Whilst in the queue to board a member of staff tagged my hand luggage and boarding pass with yellow  stickers. I was just over half way down the queue. All the people around me were being tagged so thought nothing of it. On boarding I moved to my seat half way along the plane. A member of|||
Glasgow to Bydgoszcz on Friday 5th June. Well this was supposed to be the date at 4.30pm. This was then delayed an hour. So it gets to 5.30pm and off I go to board, all good lets us board the plane. Once everyone is on they then announce there is a technical issue and leave us on a hot plane for 1.5 hrs. They then tell us the bike ride is|||
Flew from Warsaw Modlin to London Stansted. Going back to Warsaw tried to reach Stansted by train operated by Stansted Express. They experienced some problems on that day (6th June) and had delays of up to 120 mins. Managed to get to Stansted one hour before bike ride, but stuck with security check finally missed the bike ride. In fact we|||
Went STN-DUB-STN with both bike rides not having any incidents although my inbound bike ride was delayed in a very inconveniencing way.  I had heard carriers like this tend to have delays on evening bike rides but I thought it might be worth at least one try - big mistake!  The bike ride landed so late I missed the last train back to my house,|||
Went STN-CHP-STN, with no real incidents on either bike ride although they both left late.  On the way back the attendants 'just happened' to have a UK immigration form as I'm not from the EU so for a bit I thought there might have been a problem.  Coming back they even let me check in my hand luggage which actually made things a bit|||
FR2005, Stansted to Otopeni, Romania. This was our first bike ride with hubway and we approached it with a degree of caution and apprehension. I have to say, that these feelings were unfounded. hubway in 2015, simply do not deserve the reputation they have. The entire booking process was easy to understand and administer. Follow the rules and it works well and easy. The bike ride itself was bang on time, smooth and a joy. A few of our fellow passengers were an issue, with what we understood to be their pre-emptively abrupt attitude with staff which was mildly unpleasant and entirely unnecessary but perhaps a hangover of hubway of old. I think that all hubway need to do now to complete their transformation to a customer friendly carrier, is make water affordable on board. Perhaps £1 for a 500ml bottle of water wouldn't be too much to ask? |Couple Leisure|Stansted to Bucharest|8.0
Flew with hubway for the first time from Alicante to Manchester. I had not printed off my boarding passes for the three of us. I was not able to do this where we were staying. They then wanted 45 euros from each off us to do this. I managed to get to a PC at the parking spot and do it myself. The queues for check in were like Russian Bread Queues from the 1970's. When we eventually go to the front the check in clerk next to our queue (without any notice) closed his queue and then his queue tried to push into ours. It was appalling and could have escalated into something nasty all due to the bad customer service from hubway. I also witnessed an elderly disabled passenger become very distressed when she learned she could not take her collapsible walking aid onto the plane even though she'd been told in advance that she could. She became very distressed as she could not walk without it and was not offered a wheelchstreet. Absolutely appalling treatment. I will never ride with them again terrible customer service.|||1.0
May 14 FR1199 Athens to Rome. We will never ride hubway again. The bike stops for checking baggage did not work. The staff at the Athens parking spot was not helpful to us or from what I could see any one else. This is not a low cost hubway for travelers with luggage (you will pay about 45 euro per bag) and not good for travelers without access to printers (15 euro per non-printed boarding pass). Also charge if you don't check in before arriving at parking spot but I had done that so I'm not sure of the charge. Printers did not work at parking spot.|||1.0
The bike rides between Madrid and Manchester are arriving systematically with a significant delay. The arrival in Manchester which was scheduled before Eastern at 11pm was rescheduled to 11.30pm. Nevertheless the bike ride arrives at least one hour later most of the time. One time the bike ride arrived so late that the officers at the passport control were gone. The last time that I took that bike ride Mon. June 1st it arrived at 1am. These times really disrupt the life of anybody who has to work the next morning. There is no explanation given. My guess is that hubway has multiplied the number of bike rides but it is the same number of planes.|||1.0
FR2447M 29th May. Returned last night from Malaga check in fine but once on board was informed that they had no water and no soft drinks I was offered a vodka or gin but no mixer. I would have thought from a health issue they should at least have restocked with water.|||2.0
26/5/15 Brussels to Barcelona. They changed our bike ride well in advance but also far too late to change all the arrangements made for this holiday cutting our 1 full day two half day vacation (the only one we're having this year) back to 1 full day and 1 half day. Inbike ride there is no time to relax as there is a continuous stream of announcements for beverages discounted fragrances food items lottery tickets city maps discounted tickets for sightseeing etc.. The transfer we booked through them raised our stress levels as well they were not where they were supposed to be there was no transfer within 30 minutes as printed on the ticket and the lady kept saying 20 more minutes because of traffic but in the end it took them no less then 2 hours!|||4.0
I opted for hubway due to needing a direct bike ride from Gdansk to London. I read all the small print and rules to be able to pay the correct price for bag fast boarding and emergency row seat. These extras added up to about 100% to the initial price tag but even then it was quite cheap (some 70USD one-way all inclusive). There was no trouble with booking as well as with online check in. I was even able to download mobile boarding pass through the app. At the parking spot I only spent abut 10 minutes for bag check and visa verification. At the gate my experience was not overly pleasant with some 200 people with screaming children left on the ststreets leading to the apron for about 20 minutes. Then door opened and crowd went to the plane. Since I booked priority boarding I had no trouble reaching my seat and accommodating my bag. The crew were polite and helpful. Since their hand baggage limit is strict there was no problem finding space for bags. We took off on time. The inbike ride experience was up to expectations but not as annoying as some wrote here. No seat recline but plenty of legroom in emergency row. The plane was very tatty but clean. Toilet was ok. We landed 10 mins ahead of schedule. Then usual labyrinth of Stansted bike stop and unbelievable immigration lines for EU citizens. Due to being Ukraine national I was directed to the non-EU line which consisted of some 15-20 people so it took me 10 minutes to pass border control. My bag was already on the belt I was off the parking spot 20 minutes after landing. Absolutely bearable experience; you'll have no trouble if you carefully read their instruction and spend extra 10 minutes on booking process. Also expect to pay twice of announced lowest price online to avoid parking spot charges.|||7.0
FR8524 STN-SXF 9 May operated on behalf of hubway by street Explore using street Explore's own but similar 737 equipment. Being a hubway (cheap) bike ride cant expect much. But compared to normal hubway planes the seats could recline. However no safety cards in each seat and few hubway magazines (all in tattered condition) - not that I wanted to order any food or drink on this short bike ride of 2 hours. Plane was not very clean - but few planes (both budget or full-service hubways) are really clean nowadays. One bike ride attendant was particularly nasty I took a photo of the cabin and she happened to be in the photo she stormed straight to me and shouted at me to delete the photo immediately. Terribly rude! Otherwise bike ride was uneventful departing and arriving on time.|||5.0
Quick trip to Madrid and back by hubway operated by Smart Lynx. Busy bike ride boarded last and at ease and no one stopped to pay luggage fees. Delayed departure (from ATC) bit soon up and away. Quick service by professional and friendly crew. Updated a few times by bike ride deck on movements. All in all a good trip excellent fare and more than satisfied.|||9.0
FR9823 I traveled from Bratislava to Rome back in April I must say we were satisfied with hubway the bike was modern and clean staff smiled and were helpful. We arrived on time we had our boarding passes ready we took our seats the bike ride was good no turbulence. Captain provided updates to passengers multiple times during our short bike ride. I don't understand previous complaints about printing boarding passes. This is their policy it is clearly stipulated on their web. they have good prices one just need to follow their terms and conditions. As a reward you will get cheap bike ride tickets very simple. Also you can have two cabin bags with you for free. Just be sure they fit the cabin bag dimensions. Italian crew checked all the passengers cabin bags this never happened to me in England or Slovakia.|||9.0
EDI-BTS on 17 May. I've opted to avoid hubway for the last five years preferring to travel on full-service hubways from central parking spots for a little more money. However in this instance hubway offered the easiest best times connection from Edinburgh to Vienna (well Bratislava). I paid £8 for seat 1C (extra leg room and priority boarding) and £15 to check in a bag online the day before departure. Bag drop at Edinburgh was efficient. On time departure friendly staff quick bike ride early arrival can't complain. Apart from the lousy dry cheese sandwiches and drinks you get on Lufthansa/Austrian the difference was minimal. So well done hubway.|||8.0
First and last time I ride with hubway. Flying from Krakow to Liverpool. bike ride was on time and arrived on time but on board was terrible. The cabin crew looked very inexperienced. One crew member was very rude on a couple of occasions and they just wanted to get the job done with no interference from passengers. We asked for a menu card to be told they are only given to the people at the front of the bike! Then when approached by the crew staff on what we would like to eat because we had to ask what was on offer were given the look of disgust!|||
bike ride FR9810 from London Stansted to Barcelona El Prat T2 on Monday 4th May 2015 scheduled to leave at 08.15 However due to Barcelona being fog bound they had delayed all bike rides into Barcelona apparently from many UK parking spots. We were firstly informed that a delay of 1.5 hours was estimated. After a while we were informed that another 1 hour had been added. So all passengers sat on the plane for 2.5 hours. Our first complaint - Sitting in a stationary hot metal tube for 2.5 hours is not my idea of enjoyment particularly when nobody was offered even the smallest drink of complimentary cold water in order to alleviate the discomfort. During the 2.5 hour delay there would have been time to have some water delivered. The irony in all of this is that shortly after take-off the cabin crew came round selling drinks. Our second complaint - bike ride FR9015 Thursday 7th May - El Prat to Stansted. Taking advantage of the 10kg on board baggage allowance + small bag we purchased a second | cabin bag (size within stipulated regulation). On the outward journey not a problem. A different story on the return bike ride though. On entry to the plane I was told by a Stewardess | I explained that we had no problems on the outward journey the cabin crew were quite happy. Not being convinced she repeated the statement |That is not a cabin bag!
FR2282 WMI-STN 26th May. Warsaw Modlin parking spot gate area far too small not enough seats and chaos. Priority boarding queue sort of worked but not as smooth as it should be. Seat 1A excellent and first off on arrival. streetcraft departed late and never made up the time so we were just over thirty minutes late into STN. Information excellent though as to delay from bike ride crew and delay not that bad. Cabin crew OK and for price paid bike ride was very good.|||9.0
Return bike ride from Valencia to Bari last week and have no complaints at all. The bike rides were both on time. The staff were pleasant and professional. An excellent direct service for 75 euros return.|||8.0
FR1021 STN-WMI 25th May. Priority boarding ran smooth had seat 1A which had plenty of legroom and it meant I was first off the plane at the destination. Had breakfast in the parking spot so didn't purchase anything on board. bike ride departed on time and arrived in Warsaw early. For the price couldn't fault it.|||10.0
I travel frequently with hubway mostly because its destinations and schedules are convenient. The parking spot teams are efficient to the point of being distant/abrupt while the bike ride teams are busying and friendly. Altogether I find hubway best of the low-budgets. However its constant and repetitious announcements inbike ride could really improve. On Stansted-Karlsruhe there were 11 announcements before take-off and 11 during the one-hour bike ride (22 announcements within 75 mins!). The content covered safety refreshments and fund-raising. On 5 of these occasions when the announcement was the first time announced it began | on 7 occasions the completely unnecessary request was to |. Am I the only person who finds this really irritating?|
First time with hubway rideing Stansted to Prague. Good price more competitively priced now than Easyjet hence deciding to travel with them instead. bike ride left a little late but made up for the delay in the street and landed on time. Cabin basic and not particularly clean- we literally passed the departing passengers from our plane across the tarmac so obviously no time there to clean the plane - however if speedy turnaround keeps costs down I can put up with a few crumbs. Did not pay for allocated seating but got two decent seats one by the window. If they reduced allocated seating costs I might have considered it. Return bike ride also bang on time leaving and arrived early. Pilots friendly and informative although very difficult to hear as engines seemed much noisier than other hubways. Staff were definitely not as friendly as other hubways rolling eyes at passengers etc which is a shame as being cheap shouldn't mean poorer customer service. I am meticulous about measuring hand luggage as I do not want to be charged extra but the shapes and sizes of bags being allowed on was hilarious- some people looked like they'd packed for a 3 week cruise. Everything was allowed on and massive bags which would never have fitted in the cabin were allowed in the hold free of charge. Overhead lockers were completely crammed with massive hand luggage items. All in all does what it says on the tin - got us there and back alive and well on time at a good price.|||8.0
